province_id,names
"SC           ","Spartanburg"
"FL           ","Fort Lauderdale"
"CO           ","Fort Collins"
"OH           ","Cleveland"
"DC           ","Washington"
"IA           ","Des Moines"
"AK           ","Juneau"
"WI           ","Madison"
"LA           ","Baton Rouge"
"DE           ","Wilmington"
"IL           ","Chicago"
"CA           ","Whittier"
"MO           ","Columbia"
"MD           ","Laurel"
"MI           ","Kalamazoo"
"TN           ","Nashville"
"TX           ","Fort Worth"
"NY           ","Albany"
"VA           ","Virginia Beach"
"PA           ","Reading"
"IN           ","Evansville"
"MN           ","Minneapolis"
